Customer_ID,Customer_Name,disbursed_amount,asset_cost,ltv,branch_id,supplier_id,manufacturer_id,Current_pincode_ID,Employment.Type,State_ID,Employee_code_ID,MobileNo_Avl_Flag,Aadhar_flag,PAN_flag,VoterID_flag,Driving_flag,Passport_flag,PERFORM_CNS.SCORE,PERFORM_CNS.SCORE.DESCRIPTION,PRI.NO.OF.ACCTS,PRI.ACTIVE.ACCTS,PRI.OVERDUE.ACCTS,PRI.CURRENT.BALANCE,PRI.SANCTIONED.AMOUNT,PRI.DISBURSED.AMOUNT,SEC.NO.OF.ACCTS,SEC.ACTIVE.ACCTS,SEC.OVERDUE.ACCTS,SEC.CURRENT.BALANCE,SEC.SANCTIONED.AMOUNT,SEC.DISBURSED.AMOUNT,PRIMARY.INSTAL.AMT,SEC.INSTAL.AMT,NEW.ACCTS.IN.LAST.SIX.MONTHS,DELINQUENT.ACCTS.IN.LAST.SIX.MONTHS,AVERAGE.ACCT.AGE,CREDIT.HISTORY.LENGTH,NO.OF_INQUIRIES,loan_to_asset_ratio,high_inquiry_flag,high_ltv_flag,total_accounts,active_acct_ratio,has_overdue
CUST1001,Rahul Sharma,171958,555602,52.54,170,876,9,2712,1,22,7630,0,0,1,0,1,1,304,3,5,6,0,13545,497600,286458,0,2,1,49811,84896,21918,3049,4499,3,0,181,269,2,0.3095,0,0,5,1.6,1
CUST1002,Priya Patel,196867,510410,82.49,476,567,39,7141,1,29,9468,1,0,0,1,0,1,517,4,1,5,2,389803,489792,328880,2,1,1,133883,71295,85981,6423,6295,2,0,192,288,0,0.3857,0,1,3,2.0,1
CUST1003,Amit Verma,181932,167498,92.23,188,244,18,9655,1,18,1017,1,0,0,0,1,0,802,6,9,0,2,459415,89353,265281,1,3,0,56250,100689,30306,15589,6197,0,0,120,32,0,1.0862,0,1,10,0.3,1
CUST1004,Sneha Kulkarni,415838,454871,50.04,464,832,4,6335,1,26,7870,0,0,0,1,0,0,697,12,8,0,1,165838,243075,536257,4,0,0,112547,11111,147718,8158,3191,2,0,124,231,4,0.9142,1,0,12,0.0,1
CUST1005,Rohit Desai,309178,468468,94.65,271,505,25,5586,1,12,6440,1,0,0,0,0,0,692,14,4,0,2,335674,264283,152859,3,3,1,124249,37504,46843,11248,1696,0,1,27,282,5,0.66,1,1,7,0.4286,1
CUST1006,Anjali Mehta,169879,255203,77.79,190,131,14,7199,1,2,7893,1,0,1,1,1,0,506,10,5,2,0,355701,364877,414325,1,1,0,34754,132874,120975,8400,3991,4,0,163,291,2,0.6657,0,0,6,0.5,0
CUST1007,Vikram Singh,160268,271335,77.52,446,485,50,9770,1,10,6864,1,1,0,0,1,0,314,3,3,5,1,61087,115318,434070,3,1,1,142483,8155,96601,10874,4723,1,2,43,102,8,0.5907,1,0,6,1.0,1
CUST1008,Pooja Nair,257892,358167,50.32,175,819,58,875,1,4,7917,0,0,0,0,0,0,760,12,9,0,0,489055,532690,392228,2,1,1,133983,39384,107512,16151,4682,1,2,114,289,4,0.72,1,0,11,0.0909,1
CUST1009,Suresh Yadav,104886,121090,51.04,446,647,9,8326,1,14,8530,0,1,0,1,0,1,540,6,6,3,0,68840,466880,471839,2,2,0,198342,112561,147443,19639,1648,1,0,56,152,7,0.8662,1,0,8,0.625,0
CUST1010,Divya Joshi,187337,409365,73.61,51,21,26,3252,1,16,879,0,1,0,1,1,0,395,18,8,4,2,118451,143264,309536,0,2,0,139752,47254,111472,2154,5539,2,0,187,9,0,0.4576,0,0,8,0.75,1
